Experiment8: ,"Depth, 3d, sequence 4, it: 1000"
0,-4
1,-4
2,-5
3,-5
4,-5
5,-8
6,-8
7,-8
8,-9
9,-9
10,-9
11,-9
12,-9
13,-9
14,-9
15,-9
16,-9
17,-9
18,-9
19,-9
20,-9
21,-9
22,-9
23,-9
24,-9
25,-9
26,-9
27,-9
28,-9
29,-9
30,-9
31,-9
32,-9
33,-9
34,-9
35,-9
36,-10
37,-10
38,-10
39,-10
40,-10
41,-10
42,-10
43,-10
44,-10
45,-10
46,-10
47,-10
48,-10
49,-10
50,-10
51,-10
52,-10
53,-10
54,-10
55,-10
56,-10
57,-10
58,-10
59,-10
60,-10
61,-10
62,-10
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-10
70,-10
71,-10
72,-10
73,-10
74,-10
75,-10
76,-10
77,-10
78,-10
79,-10
80,-10
81,-10
82,-10
83,-10
84,-10
85,-10
86,-10
87,-10
88,-10
89,-10
90,-10
91,-10
92,-10
93,-10
94,-10
95,-10
96,-10
97,-10
98,-10
99,-10
100,-10
101,-10
102,-10
103,-10
104,-10
105,-10
106,-10
107,-10
108,-10
109,-10
110,-10
111,-10
112,-10
113,-10
114,-10
115,-10
116,-10
117,-10
118,-10
119,-10
120,-10
121,-10
122,-10
123,-10
124,-10
125,-10
126,-10
127,-10
128,-10
129,-10
130,-10
131,-10
132,-10
133,-10
134,-10
135,-10
136,-10
137,-10
138,-10
139,-10
140,-10
141,-10
142,-10
143,-10
144,-10
145,-10
146,-10
147,-10
148,-10
149,-10
150,-10
151,-10
152,-10
153,-10
154,-10
155,-10
156,-10
157,-10
158,-10
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-10
168,-10
169,-10
170,-10
171,-10
172,-10
173,-10
174,-10
175,-10
176,-10
177,-10
178,-10
179,-10
180,-10
181,-10
182,-10
183,-10
184,-10
185,-10
186,-10
187,-10
188,-10
189,-10
190,-10
191,-10
192,-10
193,-10
194,-10
195,-10
196,-10
197,-10
198,-10
199,-10
200,-10
201,-11
202,-11
203,-11
204,-11
205,-11
206,-11
207,-11
208,-11
209,-11
210,-11
211,-11
212,-11
213,-11
214,-11
215,-11
216,-11
217,-11
218,-11
219,-11
220,-11
221,-11
222,-11
223,-11
224,-11
225,-11
226,-11
227,-11
228,-11
229,-11
230,-11
231,-11
232,-11
233,-11
234,-11
235,-11
236,-11
237,-11
238,-11
239,-11
240,-11
241,-11
242,-11
243,-11
244,-11
245,-11
246,-11
247,-11
248,-11
249,-11
250,-11
251,-11
252,-11
253,-11
254,-11
255,-11
256,-11
257,-11
258,-11
259,-11
260,-11
261,-11
262,-11
263,-11
264,-11
265,-11
266,-11
267,-11
268,-11
269,-11
270,-11
271,-11
272,-11
273,-11
274,-11
275,-11
276,-11
277,-11
278,-11
279,-11
280,-11
281,-11
282,-11
283,-11
284,-11
285,-11
286,-11
287,-11
288,-11
289,-11
290,-11
291,-11
292,-11
293,-11
294,-11
295,-11
296,-11
297,-11
298,-11
299,-11
300,-11
301,-11
302,-11
303,-11
304,-11
305,-11
306,-11
307,-11
308,-11
309,-11
310,-11
311,-11
312,-11
313,-11
314,-11
315,-11
316,-11
317,-11
318,-11
319,-11
320,-11
321,-11
322,-11
323,-11
324,-11
325,-11
326,-11
327,-11
328,-11
329,-11
330,-11
331,-11
332,-11
333,-11
334,-11
335,-11
336,-11
337,-11
338,-11
339,-11
340,-11
341,-11
342,-11
343,-11
344,-11
345,-11
346,-11
347,-11
348,-11
349,-11
350,-11
351,-11
352,-11
353,-11
354,-11
355,-11
356,-11
357,-11
358,-11
359,-11
360,-11
361,-11
362,-11
363,-11
364,-11
365,-11
366,-11
367,-11
368,-11
369,-11
370,-11
371,-11
372,-11
373,-11
374,-11
375,-11
376,-11
377,-11
378,-11
379,-11
380,-11
381,-11
382,-11
383,-11
384,-11
385,-11
386,-11
387,-11
388,-11
389,-11
390,-11
391,-11
392,-11
393,-11
394,-11
395,-11
396,-11
397,-11
398,-11
399,-11
400,-11
401,-11
402,-11
403,-11
404,-11
405,-11
406,-11
407,-11
408,-11
409,-11
410,-11
411,-11
412,-11
413,-11
414,-11
415,-11
416,-11
417,-11
418,-11
419,-11
420,-11
421,-11
422,-11
423,-11
424,-11
425,-11
426,-11
427,-11
428,-11
429,-11
430,-11
431,-11
432,-11
433,-11
434,-11
435,-11
436,-11
437,-11
438,-11
439,-11
440,-11
441,-11
442,-11
443,-11
444,-11
445,-11
446,-11
447,-11
448,-11
449,-11
450,-11
451,-11
452,-11
453,-11
454,-11
455,-11
456,-11
457,-11
458,-11
459,-11
460,-11
461,-11
462,-11
463,-11
464,-11
465,-11
466,-11
467,-11
468,-11
469,-11
470,-11
471,-11
472,-11
473,-11
474,-11
475,-11
476,-11
477,-11
478,-11
479,-11
480,-11
481,-11
482,-11
483,-11
484,-11
485,-11
486,-11
487,-11
488,-11
489,-11
490,-11
491,-11
492,-11
493,-11
494,-11
495,-11
496,-11
497,-11
498,-11
499,-11
500,-11
501,-11
502,-11
503,-11
504,-11
505,-11
506,-11
507,-11
508,-11
509,-11
510,-11
511,-11
512,-11
513,-11
514,-11
515,-11
516,-11
517,-11
518,-11
519,-11
520,-11
521,-11
522,-11
523,-11
524,-11
525,-11
526,-11
527,-11
528,-11
529,-11
530,-11
531,-11
532,-11
533,-11
534,-11
535,-11
536,-11
537,-11
538,-11
539,-11
540,-11
541,-11
542,-11
543,-11
544,-11
545,-11
546,-11
547,-11
548,-11
549,-11
550,-11
551,-11
552,-11
553,-11
554,-11
555,-11
556,-11
557,-11
558,-11
559,-11
560,-11
561,-11
562,-11
563,-11
564,-11
565,-11
566,-11
567,-11
568,-11
569,-11
570,-11
571,-11
572,-11
573,-11
574,-11
575,-11
576,-11
577,-11
578,-11
579,-11
580,-11
581,-11
582,-11
583,-11
584,-11
585,-11
586,-11
587,-11
588,-11
589,-11
590,-11
591,-11
592,-11
593,-11
594,-11
595,-11
596,-11
597,-11
598,-11
599,-11
600,-11
601,-11
602,-11
603,-11
604,-11
605,-11
606,-11
607,-11
608,-11
609,-11
610,-11
611,-11
612,-11
613,-11
614,-11
615,-11
616,-11
617,-11
618,-11
619,-11
620,-11
621,-11
622,-11
623,-11
624,-11
625,-11
626,-11
627,-11
628,-11
629,-11
630,-11
631,-11
632,-11
633,-11
634,-11
635,-11
636,-11
637,-11
638,-11
639,-11
640,-11
641,-11
642,-11
643,-11
644,-11
645,-11
646,-11
647,-11
648,-11
649,-11
650,-11
651,-11
652,-11
653,-11
654,-11
655,-11
656,-11
657,-11
658,-11
659,-11
660,-11
661,-11
662,-11
663,-11
664,-11
665,-11
666,-11
667,-11
668,-11
669,-11
670,-11
671,-11
672,-11
673,-11
674,-11
675,-11
676,-11
677,-11
678,-11
679,-11
680,-11
681,-11
682,-11
683,-11
684,-11
685,-11
686,-11
687,-11
688,-11
689,-11
690,-11
691,-11
692,-11
693,-11
694,-11
695,-11
696,-11
697,-11
698,-11
699,-11
700,-11
701,-11
702,-11
703,-11
704,-11
705,-11
706,-11
707,-11
708,-11
709,-11
710,-11
711,-11
712,-11
713,-11
714,-11
715,-11
716,-11
717,-11
718,-11
719,-11
720,-11
721,-11
722,-11
723,-11
724,-11
725,-11
726,-11
727,-11
728,-11
729,-11
730,-11
731,-11
732,-11
733,-11
734,-11
735,-11
736,-11
737,-11
738,-11
739,-11
740,-11
741,-11
742,-11
743,-11
744,-11
745,-11
746,-11
747,-11
748,-11
749,-11
750,-11
751,-11
752,-11
753,-11
754,-11
755,-11
756,-11
757,-11
758,-11
759,-11
760,-11
761,-11
762,-11
763,-11
764,-11
765,-11
766,-11
767,-11
768,-11
769,-11
770,-11
771,-11
772,-11
773,-11
774,-11
775,-11
776,-11
777,-11
778,-11
779,-11
780,-11
781,-11
782,-11
783,-11
784,-11
785,-11
786,-11
787,-11
788,-11
789,-11
790,-11
791,-11
792,-11
793,-11
794,-11
795,-11
796,-11
797,-11
798,-11
799,-11
800,-11
801,-11
802,-11
803,-11
804,-11
805,-11
806,-11
807,-11
808,-11
809,-11
810,-11
811,-11
812,-11
813,-11
814,-11
815,-11
816,-11
817,-11
818,-11
819,-11
820,-11
821,-11
822,-11
823,-11
824,-11
825,-11
826,-11
827,-11
828,-11
829,-11
830,-11
831,-11
832,-11
833,-11
834,-11
835,-11
836,-11
837,-11
838,-11
839,-11
840,-11
841,-11
842,-11
843,-11
844,-11
845,-11
846,-11
847,-11
848,-11
849,-11
850,-11
851,-11
852,-11
853,-11
854,-11
855,-11
856,-11
857,-11
858,-11
859,-11
860,-11
861,-11
862,-11
863,-11
864,-11
865,-11
866,-11
867,-11
868,-11
869,-11
870,-11
871,-11
872,-11
873,-11
874,-11
875,-11
876,-11
877,-11
878,-11
879,-11
880,-11
881,-11
882,-11
883,-11
884,-11
885,-11
886,-11
887,-11
888,-11
889,-11
890,-11
891,-11
892,-11
893,-11
894,-11
895,-11
896,-11
897,-11
898,-11
899,-11
900,-11
901,-11
902,-11
903,-11
904,-11
905,-11
906,-11
907,-11
908,-11
909,-11
910,-11
911,-11
912,-11
913,-11
914,-11
915,-11
916,-11
917,-11
918,-11
919,-11
920,-11
921,-11
922,-11
923,-11
924,-11
925,-11
926,-11
927,-11
928,-11
929,-11
930,-11
931,-11
932,-11
933,-11
934,-11
935,-11
936,-11
937,-11
938,-11
939,-11
940,-11
941,-11
942,-11
943,-11
944,-11
945,-11
946,-11
947,-11
948,-11
949,-11
950,-11
951,-11
952,-11
953,-11
954,-11
955,-11
956,-11
957,-11
958,-11
959,-11
960,-11
961,-11
962,-11
963,-11
964,-11
965,-11
966,-11
967,-11
968,-11
969,-11
970,-11
971,-11
972,-11
973,-11
974,-11
975,-11
976,-11
977,-11
978,-11
979,-11
980,-11
981,-11
982,-11
983,-11
984,-11
985,-11
986,-11
987,-11
988,-11
989,-11
990,-11
991,-11
992,-11
993,-11
994,-11
995,-11
996,-11
997,-11
998,-11
999,-11
1000,-11
